,original_show,original_wikiurl,remake_show,remake_wikiurl,original_country,remake_country,original_imdburl,remake_imdburl,original_imdb-score,original_imdb-nvotes,original_imdb-nseasons,remake_imdb-score,remake_imdb-nvotes,remake_imdb-nseasons
0,Agony,https://en.wikipedia.org/wiki/Agony_(TV_series),The Lucie Arnaz Show,https://en.wikipedia.org/wiki/The_Lucie_Arnaz_Show,United Kingdom,United States,{'https://www.imdb.com/title/tt0078559/'},{'https://www.imdb.com/title/tt0088556/'},7.2,117.0,3.0,5.7,25.0,1.0
1,Airline,https://en.wikipedia.org/wiki/Airline_(1998_TV_series),Airline,https://en.wikipedia.org/wiki/Airline_(U.S._TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt7254516/', 'https://www.imdb.com/title/tt0426641/'}",{'https://www.imdb.com/title/tt0395378/'},7.8,93.0,6.0,7.3,200.0,3.0
2,As If,https://en.wikipedia.org/wiki/As_If_(UK_TV_series),As If,https://en.wikipedia.org/wiki/As_If_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0275821/'},{'https://www.imdb.com/title/tt0313034/'},8.2,820.0,4.0,8.1,84.0,1.0
3,BeTipul,https://en.wikipedia.org/wiki/BeTipul,In Treatment,https://en.wikipedia.org/wiki/In_Treatment_(U.S._TV_series),Israel,United States,{'https://www.imdb.com/title/tt0466345/'},{'https://www.imdb.com/title/tt0835434/'},8.3,301.0,2.0,8.2,16264.0,4.0
4,Being Human,https://en.wikipedia.org/wiki/Being_Human_(UK_TV_series),Being Human,https://en.wikipedia.org/wiki/Being_Human_(North_American_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt1349938/'},{'https://www.imdb.com/title/tt1595680/'},7.8,24284.0,5.0,7.5,24592.0,4.0
5,Birds of a Feather,https://en.wikipedia.org/wiki/Birds_of_a_Feather_(TV_series),Stand by Your Man,https://en.wikipedia.org/wiki/Stand_by_Your_Man_(TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0096545/'},{'https://www.imdb.com/title/tt0103557/'},6.2,1909.0,12.0,6.3,36.0,1.0
6,Blackpool,https://en.wikipedia.org/wiki/Blackpool_(TV_serial),Viva Laughlin!,https://en.wikipedia.org/wiki/Viva_Laughlin,United Kingdom,United States,"{'https://www.imdb.com/title/tt0817526/', 'https://www.imdb.com/title/tt0408375/'}",{'https://www.imdb.com/title/tt0878801/'},7.3,1175.5,,3.2,524.0,1.0
7,Broadchurch,https://en.wikipedia.org/wiki/Broadchurch,Gracepoint,https://en.wikipedia.org/wiki/Gracepoint,United Kingdom,United States,{'https://www.imdb.com/title/tt2249364/'},{'https://www.imdb.com/title/tt3435532/'},8.4,100082.0,3.0,7.1,5902.0,1.0
8,Cash Cab,https://en.wikipedia.org/wiki/Cash_Cab_(UK_game_show),Cash Cab,https://en.wikipedia.org/wiki/Cash_Cab_(American_game_show),United Kingdom,United States,{'https://www.imdb.com/title/tt0465321/'},{'https://www.imdb.com/title/tt0790825/'},7.3,156.0,1.0,7.1,2658.0,14.0
9,Choujinki MetalderDimensional Warrior SpielbanSpace Sheriff Shaider,https://en.wikipedia.org/wiki/Choujinki_Metalder,VR Troopers,https://en.wikipedia.org/wiki/VR_Troopers,Japan,United States,{'https://www.imdb.com/title/tt0161168/'},{'https://www.imdb.com/title/tt0108978/'},8.1,77.0,1.0,5.8,957.0,2.0
